Symbol,Name,Industry
ACC,ACC Ltd.,Construction Materials
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ADANITRANS,Adani Transmission Ltd.,Power
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
DMART,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BANDHANBNK,Bandhan Bank Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables
BEL,Bharat Electronics Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BIOCON,Biocon Ltd.,Healthcare
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
DLF,DLF Ltd.,Realty
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GLAND,Gland Pharma Ltd.,Healthcare
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GRASIM,Grasim Industries Ltd.,Construction Materials
HCLTECH,HCL Technologies Ltd.,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HAVELLS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HDFC,Housing Development Finance Corporation Ltd.,Financial Services
ICICIBANK,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
NAUKRI,Info Edge (India) Ltd.,Consumer Services
INFY,Infosys Ltd.,Information Technology
INDIGO,InterGlobe Aviation Ltd.,Services
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
LTIM,LTIMindtree Ltd.,Information Technology
LT,Larsen & Toubro Ltd.,Construction
LICI,Life Insurance Corporation of India,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MPHASIS,MphasiS Ltd.,Information Technology
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NTPC,NTPC Ltd.,Power
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
PAYTM,One 97 Communications Ltd.,Financial Services
PIIND,PI Industries Ltd.,Chemicals
PIDILITIND,Pidilite Industries Ltd.,Chemicals
POWERGRID,Power Grid Corporation of India Ltd.,Power
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
SRF,SRF Ltd.,Chemicals
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SHREECEM,Shree Cement Ltd.,Construction Materials
SIEMENS,Siemens Ltd.,Capital Goods
SBIN,State Bank of India,Financial Services
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
TCS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining
TECHM,Tech Mahindra Ltd.,Information Technology
TITAN,Titan Company Ltd.,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare
UPL,UPL Ltd.,Chemicals
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
MCDOWELL-N,United Spirits Ltd.,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,Metals & Mining
WIPRO,Wipro Ltd.,Information Technology
ZOMATO,Zomato Ltd.,Consumer Services
